COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
376	1.5706-0.085385i	377.0908+0.01281134i
377	1.7438-0.054443i	378.0861+0.01282145i
378	1.8761+0.058151i	379.092+0.01276268i
379	1.6709+0.031858i	380.098+0.01270442i
380	1.3173+0.043047i	381.1041+0.01253959i
381	1.2644+0.019365i	382.0996+0.01255034i
382	1.2848+0.016384i	383.1058+0.01249317i
383	1.8953+0.025722i	384.112+0.0124366i
384	1.2016-0.050094i	385.1075+0.01244817i
385	1.302-0.0085836i	386.1139+0.01239259i
386	1.6996+0.041483i	387.1203+0.01222873i
387	1.2118-0.041669i	388.1159+0.01224098i
388	1.187-0.017538i	389.1225+0.01218686i
389	1.2604+0.0048402i	390.1291+0.01213346i
390	2.1392-0.030081i	391.1248+0.01214686i
391	0.5124-0.013424i	392.1316+0.01198423i
392	2.0963+0.017679i	393.1384+0.01193253i
393	1.7184-0.032621i	394.1342+0.01194694i
394	2.2659+0.040713i	395.1411+0.01189662i
395	1.5392-0.046738i	396.1481+0.01173543i
396	1.827+0.014041i	397.144+0.01175102i
397	2.444-0.025958i	398.1548+0.01179031i
398	1.5347-0.002047i	399.1528+0.01196022i
399	1.8494+0.0013722i	400.1508+0.01224026i
400	1.7243+0.012265i	401.1602+0.01244961i
401	1.6872-0.061391i	402.1583+0.01261025i
402	1.6719+0.057211i	403.1678+0.01281096i
403	1.9273+0.011768i	404.166+0.01307884i
404	1.8939+0.0060838i	405.1757+0.0131563i
405	1.8388+0.057648i	406.174+0.0134175i
406	1.8596-0.023026i	407.1723+0.01367602i
407	1.8305+0.025387i	408.1822+0.01385483i
408	2.537-0.0063873i	409.1806+0.01399062i
409	1.8234-0.028883i	410.1791+0.01423912i
410	1.9636-0.0017334i	411.1893+0.01440393i
411	2.0256-0.047639i	412.1879+0.01464517i
412	1.7983-0.018255i	413.1865+0.0148833i
413	1.9314+0.024355i	414.1969+0.0150337i
414	1.6129-0.0030754i	415.1956+0.01526411i
415	1.5292-0.0075629i	416.2062+0.01552228i
416	1.9266+0.017297i	417.2051+0.01574498i
417	2.1043-0.0021797i	418.204+0.01596418i
418	2.1214+0.013933i	419.2029+0.01617982i
419	1.956-0.020018i	420.2138+0.01629943i
420	2.0864+0.0057719i	421.2129+0.01662627i
421	2.016-0.00056136i	422.2119+0.01682976i
422	2.1543-0.0031452i	423.2231+0.01705351i
423	2.2225+0.0053429i	424.2223+0.01724814i
424	1.9624+0.0070588i	425.2216+0.01743873i
425	2.1888+0.011268i	426.2331+0.01764626i
426	2.1709-0.016285i	427.2355+0.0178223i
427	1.518+0.00058954i	428.2293+0.01824502i
428	1.7998+0.0071187i	429.2354+0.01843786i
429	1.7989-0.00499i	430.2416+0.01862452i
430	2.0242-0.0036039i	431.2356+0.01891287i
431	2.3211-0.017042i	432.2419+0.01908839i
432	2.1282-2.7034e-05i	433.2484+0.01938133i
433	2.2716+0.031876i	434.2549+0.0195441i
434	2.3405+0.055236i	435.249+0.01993892i
435	2.2361+0.03117i	436.2557+0.02009008i
436	2.3007+0.019896i	437.2624+0.02035958i
437	2.1461-0.0011436i	438.2567+0.02061605i
438	1.7095-0.00063588i	439.2636+0.020874i
439	2.2163-0.016001i	440.2706+0.0211254i
440	2.2081-0.0073081i	441.265+0.02136722i
441	2.3855-0.017643i	442.2722+0.02160643i
442	2.2695-0.0036079i	443.2794+0.02183876i
443	2.3872-0.014985i	444.274+0.02219266i
444	2.2666+0.0040038i	445.2813+0.0224125i
445	2.4659+0.017915i	446.2888+0.02262512i
446	2.2505+0.0052264i	447.2836+0.02296393i
447	2.2412+0.012318i	448.2912+0.02316341i
448	2.2532+0.0093528i	449.286+0.02349221i
449	2.3393+0.010511i	450.2938+0.02367811i
450	2.2209-0.0045346i	451.3017+0.02385621i
451	2.3139+0.013135i	452.2967+0.02416836i
452	1.9666+0.0021773i	453.3048+0.02446289i
453	2.103+0.021466i	454.2999+0.02476433i
454	2.2524+0.015485i	455.3081+0.02491379i
455	2.3313+0.0054077i	456.3076+0.02531069i
456	2.8609+0.017969i	457.3085+0.02557218i
457	1.9709+0.0063439i	458.3226+0.02567478i
458	2.4866+0.0051782i	459.3236+0.02605429i
459	2.4672+0.036369i	460.3246+0.02629477i
460	2.204+0.0018709i	461.3258+0.02652851i
461	2.3108+0.0042416i	462.3269+0.02688916i
462	2.3855+0.015599i	463.3282+0.02724352i
463	2.4412+0.010202i	464.3295+0.02745704i
464	2.2931+0.0074928i	465.3309+0.02779815i
465	2.4518+0.0013397i	466.3458+0.02796546i
466	1.6729-0.0019394i	467.3474+0.02815587i
467	2.4302+0.011386i	468.349+0.02847452i
468	1.9648+0.0050621i	469.3507+0.02878618i
469	2.4647+0.02105i	470.3524+0.02909075i
470	2.1065-0.012428i	471.3543+0.02938809i
471	2.6899+0.0033865i	472.3562+0.02967809i
472	2.0746+0.0074121i	473.3581+0.02996063i
473	2.4363+0.01721i	474.3602+0.03023558i
474	2.0083+0.0016724i	475.3623+0.03064102i
475	2.4952+0.0075977i	476.3645+0.03090079i
476	2.193+0.015563i	477.3668+0.0311526i
477	3.1013+0.015024i	478.3691+0.03153556i
478	2.5776+0.0019859i	479.3715+0.03177144i
479	2.4814-0.00013103i	480.374+0.0321389i
480	2.5396-0.0054558i	481.3766+0.03235835i
481	3.2603-0.0052898i	482.3933+0.03251155i
482	2.4071+0.0087282i	483.396+0.03271203i
483	2.2972+0.00095432i	484.3989+0.03304493i
484	2.5802+0.0024173i	485.4018+0.03336955i
485	2.5289+0.036952i	486.4048+0.03368575i
486	2.7209+0.0037574i	487.4079+0.03399339i
487	2.7926+0.0068337i	488.4027+0.03396282i
488	3.2099+0.0096131i	489.4026+0.03388837i
489	2.5479+0.0037164i	490.4025+0.03395756i
490	2.514-0.0030358i	491.417+0.03367595i
491	2.6842-0.0032914i	492.4171+0.03360271i
492	2.4537-0.02335i	493.4174+0.03352976i
493	2.6006-0.0076894i	494.4177+0.03345716i
494	2.6119+0.0086398i	495.4181+0.03338493i
495	2.5585+0.021848i	496.4186+0.03331312i
496	2.7344+0.0074313i	497.4192+0.03324175i
497	2.6593+0.0040803i	498.4345+0.03296413i
498	2.5609+0.0015i	499.4354+0.03289398i
499	3.3146+0.02263i	500.4363+0.03282441i
500	3.036+0.0090649i	501.4373+0.03275544i
501	2.607+0.0059824i	502.4384+0.03268714i
502	2.726+0.011175i	503.4396+0.03261954i
503	2.7416+0.0011182i	504.4409+0.03255267i
504	2.5285-0.034167i	505.4422+0.03248659i
505	2.4004-0.0045711i	506.4437+0.03242134i
506	2.2239+0.011997i	507.4453+0.03235696i
507	2.5143+0.0026244i	508.447+0.03214311i
508	2.1068+0.015789i	509.4488+0.03208022i
509	2.5082-0.017085i	510.4507+0.03201833i
510	2.1939+0.011611i	511.4527+0.03195749i
511	2.5535-0.016023i	512.4699+0.03169402i
512	1.9002+0.034498i	513.4722+0.03148333i
513	2.4426+0.076227i	514.4745+0.03142579i
514	2.2922-0.014699i	515.477+0.0313695i
515	2.1066+0.036946i	516.4795+0.03116098i
516	2.5504+0.0047615i	517.474+0.03165305i
517	2.2323+0.01157i	518.4829+0.03190486i
518	1.4761-0.081269i	519.4765+0.03235267i
519	1.7299+0.03329i	520.4856+0.03257893i
520	2.236-0.055096i	521.4794+0.03300565i
521	2.033-0.022891i	522.4887+0.0332056i
522	1.3885+0.027341i	523.4982+0.03339087i
523	1.5331-0.00033254i	524.4922+0.0339399i
524	1.8908+0.066432i	525.502+0.03409804i
525	2.152-0.017883i	526.4961+0.03462527i
526	1.6556+0.0023457i	527.5061+0.03475548i
527	2.0543-0.015201i	528.5004+0.03526016i
528	1.8831+0.001924i	529.5106+0.03552006i
529	1.9618+0.0148i	530.5051+0.03584297i
530	2.1101-0.0078182i	531.5156+0.03607406i
531	2.4081+0.00025662i	532.5102+0.03653169i
532	2.3037-0.050928i	533.5209+0.03673352i
533	2.8127-0.013402i	534.5158+0.03716664i
534	2.2372+0.00086517i	535.5267+0.03749909i
535	2.8006-0.025455i	536.5217+0.03790728i
536	2.3906-0.0070315i	537.533+0.0380484i
537	3.0074-0.0015651i	538.5282+0.03859234i
538	2.6614-0.00043962i	539.5396+0.038702i
539	2.3191+0.00011106i	540.535+0.03922014i
540	2.526-0.0575i	541.5468+0.03929744i
541	2.0231+0.0038851i	542.5423+0.03978893i
542	2.1772+0.0084999i	543.5544+0.0399968i
543	2.6908+0.005349i	544.5501+0.04046118i
544	2.5524+0.038212i	545.546+0.04091305i
545	2.1138+0.0070442i	546.5584+0.04107244i
546	2.0585+0.001001i	547.5544+0.04149591i
547	2.1828-0.0084308i	548.5648+0.04150522i
548	2.2933-0.0014366i	549.5593+0.04141153i
549	1.9062+0.0072913i	550.5706+0.04120113i
550	2.6463-0.000453i	551.5653+0.04110821i
551	2.1807+0.016742i	552.5602+0.04118312i
552	2.0768+0.043065i	553.5721+0.04080801i
553	1.8483+0.065217i	554.5672+0.04071643i
554	2.1306-0.010616i	555.5794+0.04051146i
555	1.4516-0.0064345i	556.5749+0.04042131i
556	2.0723+0.035473i	557.5705+0.04033165i
557	1.599-0.0020081i	558.5833+0.04013069i
558	2.3717+0.0064841i	559.5792+0.04004287i
559	2.2859-0.0082121i	560.5752+0.03995576i
560	2.5476+0.011524i	561.5885+0.03958768i
561	2.3646-0.0042164i	562.5849+0.03967463i
562	2.6477+0.0010365i	563.5814+0.0395907i
563	2.5545+0.0031825i	564.5953+0.03922663i
564	2.3902-1.8993e-05i	565.5921+0.03914494i
565	2.4051+0.0052553i	566.5891+0.03906439i
566	2.2293+0.023336i	567.6036+0.03870459i
567	2.625-0.021259i	568.6009+0.03862676i
568	3.058+0.029412i	569.5983+0.03855029i
569	3.096-0.042049i	570.5959+0.03847527i
570	2.686-0.027779i	571.6113+0.03812227i
571	2.3492-0.005888i	572.6092+0.03805063i
572	3.616+0.035676i	573.6073+0.03798068i
573	2.958-0.0041139i	574.6055+0.0379125i
574	3.2538+0.00067998i	575.6039+0.03784618i
575	3.0699+0.0067773i	576.6203+0.03732471i
576	4.0991+0.0017965i	577.6201+0.0373853i
577	3.9381+0.032825i	578.6189+0.03751571i
578	4.0714-0.041092i	579.6178+0.03763571i
579	3.1713-0.01153i	580.617+0.03774515i
580	3.3355+0.0081064i	581.6163+0.03802515i
581	2.9992+0.024458i	582.6339+0.03782714i
582	3.0607+0.012095i	583.6336+0.0379029i
583	3.3082-0.0055205i	584.6334+0.03796744i
584	2.9459+0.015443i	585.6334+0.03820379i
585	4.172+0.022229i	586.6336+0.03824592i
586	3.9685-0.034959i	587.6339+0.03846046i
587	3.995-0.014143i	588.6344+0.03847949i
588	3.7109-0.055846i	589.6351+0.03867157i
589	3.4693+0.013629i	590.636+0.03885239i
590	3.3913-0.0046568i	591.637+0.03883574i
591	3.9338-0.028486i	592.6382+0.03899307i
592	3.928-0.00021293i	593.6396+0.03913862i
593	4.0278+0.027629i	594.66+0.03896692i
594	3.9701-0.00088724i	595.6618+0.03908676i
595	3.5502-0.035398i	596.6638+0.03900582i
596	2.6867-0.064356i	597.666+0.03910037i
597	4.2173-0.011178i	598.6684+0.03918224i
598	3.8602-0.0087454i	599.652+0.03975473i
599	3.9417+0.016643i	600.6547+0.03981284i
600	3.8023+0.037044i	601.6577+0.03985772i
601	3.1606+0.0046436i	602.6608+0.03988917i
602	3.9556+0.015206i	603.6642+0.039907i
603	4.2227-0.009583i	604.6677+0.04010343i
604	3.5045-0.0074228i	605.6715+0.04009394i
605	3.4542-0.011863i	606.6679+0.04020434i
606	4.4344-0.0033442i	607.6749+0.04032833i
607	3.461+0.0041257i	608.6822+0.04024419i
608	3.5483-0.00049011i	609.6897+0.04033999i
609	4.3025-0.01483i	610.6779+0.04055857i
610	3.1802+0.021902i	611.6857+0.04062714i
611	4.1787-0.010881i	612.6939+0.04068116i
612	4.2438-0.00051281i	613.6826+0.04086111i
613	4.2759+0.020388i	614.6911+0.0408867i
614	4.2824-0.039614i	615.6999+0.04089713i
615	4.3874-0.015053i	616.6891+0.04123506i
616	3.4655+0.00059701i	617.6983+0.04121633i
617	4.3357-0.013152i	618.7078+0.04118181i
618	2.8917+0.0016378i	619.6975+0.04147954i
619	4.1457-0.040966i	620.7074+0.0414146i
620	4.5566+0.0030772i	621.7176+0.04133321i
621	3.249-0.0015703i	622.7078+0.0417903i
622	3.6839-0.0039735i	623.7185+0.04167771i
623	4.4255-0.0041017i	624.7091+0.04190544i
624	4.4433+0.0026993i	625.7202+0.04176024i
625	3.5701+0.0056657i	626.7316+0.04180091i
626	3.6183-0.011043i	627.7228+0.04198391i
627	2.9731-0.0035409i	628.7346+0.04199216i
628	4.4675+0.02777i	629.7262+0.04235001i
629	3.417+0.001064i	630.7386+0.04211995i
630	3.2256+0.0028792i	631.7306+0.04244781i
631	3.7165+0.0059514i	632.7434+0.04238896i
632	4.7322-0.0016252i	633.7358+0.04268645i
