COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
376	1.798+0.003527i	378.637+0.07531636i
377	2.453+0.0053103i	379.6508+0.07504302i
378	2.1619+0.0079206i	380.6624+0.07476255i
379	1.9846+0.0041219i	381.6718+0.07447447i
380	2.2024+0.0050424i	382.6987+0.07421299i
381	1.4356-0.0074427i	383.7036+0.07390807i
382	2.1866-0.0057487i	384.726+0.07362857i
383	1.6342+0.0038733i	385.7462+0.07333925i
384	2.2106-0.0014791i	386.764+0.07303958i
385	2.1644-0.0077207i	387.7796+0.07274882i
386	2.2447-0.00076328i	388.7928+0.07244662i
387	2.029+0.0028968i	389.8037+0.07213245i
388	2.2046-0.0066534i	390.8122+0.07180575i
389	1.9794+0.0049304i	391.8382+0.07149996i
390	2.0786+0.016144i	392.8618+0.07120011i
391	2.2606-0.0076868i	393.8632+0.07085206i
392	2.2836-0.00036846i	394.882+0.07052295i
393	2.2941-0.0024982i	395.8983+0.07019802i
394	2.1317-0.0029778i	396.932+0.06989048i
395	1.88+0.00052812i	397.9435+0.06955229i
396	2.0617+0.0018961i	398.9525+0.06919678i
397	2.2679-0.0021546i	399.9719+0.06955046i
398	2.0587+0.010259i	400.9998+0.07075533i
399	2.1047+0.0025662i	402.0053+0.07192272i
400	2.3359+0.0040727i	403.0276+0.07312446i
401	2.274+0.0039437i	404.0471+0.07432916i
402	2.2586+0.013406i	405.0637+0.07552i
403	2.3371+0.0038852i	406.0775+0.07671951i
404	2.336+9.7129e-05i	407.0884+0.07791096i
405	2.4415+0.001061i	408.116+0.07913619i
406	2.361-0.0021665i	409.1211+0.08032106i
407	2.3175+0.00091683i	410.1428+0.0815275i
408	2.4368+0.019788i	411.1616+0.0827588i
409	2.6321+0.0025845i	412.1774+0.08395934i
410	1.5221-0.026942i	413.1902+0.08517137i
411	2.2164+0.001045i	414.2195+0.08640208i
412	2.6079-0.0011454i	415.2263+0.08760818i
413	2.3759-0.00014009i	416.2496+0.08884086i
414	2.3656-0.0073604i	417.2697+0.09006026i
415	2.1567+0.0040046i	418.2868+0.09128921i
416	2.3859-0.0020805i	419.3007+0.09249206i
417	2.0556-0.0016664i	420.331+0.09375875i
418	2.4026-0.0043455i	421.3387+0.09495936i
419	2.3948+0.0041517i	422.3626+0.0961933i
420	1.4333+0.0028436i	423.3834+0.09741652i
421	2.8513-0.023177i	424.4009+0.09865201i
422	2.4151-0.0044192i	425.4152+0.09986452i
423	1.8733+0.0046842i	426.4456+0.1011099i
424	2.4477+0.00027776i	427.4534+0.1023077i
425	2.8486+0.013287i	428.4772+0.1035474i
426	2.2221-0.018609i	429.4968+0.104825i
427	1.6099-0.00061627i	430.5312+0.1062147i
428	2.1925-0.00063672i	431.5428+0.1075411i
429	1.9945+0.0030071i	432.5704+0.1089011i
430	2.1703-0.0047103i	433.5944+0.1102629i
431	2.0958+0.0051703i	434.615+0.1115924i
432	2.477-0.0022913i	435.6321+0.1129133i
433	2.2327+0.0034067i	436.6457+0.1142303i
434	2.4661-0.0026277i	437.675+0.1155905i
435	1.7904+0.018002i	438.7008+0.1169385i
436	1.9836-0.012424i	439.7229+0.1182792i
437	2.1901-0.011799i	440.7414+0.1195787i
438	2.6457-0.0046671i	441.7563+0.1208805i
439	2.5268-7.2495e-05i	442.7867+0.1222369i
440	2.5401+0.0022474i	443.8134+0.1235496i
441	2.5388+0.0019322i	444.8364+0.1248622i
442	3.2178+0.0026578i	445.8556+0.1261606i
443	2.0528+0.0009i	446.8711+0.1274307i
444	2.5427-0.0070913i	447.9019+0.1287494i
445	2.4888-0.0054895i	448.9289+0.1300524i
446	2.2971+0.0038107i	449.9521+0.131326i
447	2.5327+0.019914i	450.9713+0.1325946i
448	2.5943+0.00039396i	452.0058+0.1339013i
449	2.2911+0.0051658i	453.0363+0.135178i
450	2.3574-0.0041498i	454.0628+0.1364305i
451	2.2027+0.0050333i	455.0854+0.1376644i
452	2.5866-0.0062635i	456.104+0.1388856i
453	2.1241+0.0027669i	457.1375+0.1401427i
454	2.9414-0.0023377i	458.167+0.1413629i
455	2.6393-0.0019066i	459.1958+0.1426059i
456	1.8427-0.0049103i	460.2252+0.1438615i
457	2.9578+0.0037511i	461.2506+0.145175i
458	2.6427-0.00555i	462.2719+0.146249i
459	1.7666-0.0030863i	463.3082+0.1475566i
460	2.2409-0.012507i	464.3404+0.1488289i
461	2.9766+9.0121e-05i	465.3684+0.1498832i
462	2.8085-0.0109i	466.3924+0.1511045i
463	3.0212-0.00079393i	467.431+0.152213i
464	2.6892-0.0018715i	468.4466+0.1534102i
465	2.6847-0.00028306i	469.4769+0.1545104i
466	2.3946+0.0039936i	470.5217+0.1557129i
467	2.3135-0.0035122i	471.5435+0.156834i
468	2.4867+0.0011979i	472.5797+0.157885i
469	2.4658+0.0072706i	473.6117+0.1589657i
470	2.4117+0.00080001i	474.6392+0.1598949i
471	2.0461-0.002442i	475.6812+0.1609698i
472	2.6409-0.0010514i	476.6999+0.1619952i
473	2.6971+0.0055783i	477.7517+0.1630996i
474	2.2856+0.00077514i	478.7803+0.1639818i
475	2.785+0.0047086i	479.8044+0.1649397i
476	2.704-0.0041617i	480.8426+0.1657145i
477	2.4329+0.01949i	481.8763+0.166583i
478	2.7867+0.001632i	482.924+0.1676637i
479	2.6413-0.0023242i	483.9484+0.1683703i
480	2.8002-0.00033419i	484.9868+0.1691209i
481	2.4401-0.0054823i	486.0205+0.1699995i
482	2.7356+0.028278i	487.0681+0.1707571i
483	2.7926-0.0019127i	488.0923+0.1713584i
484	2.4931+0.0045803i	489.1303+0.172045i
485	3.1387-0.0010117i	490.1821+0.1728295i
486	2.7975+0.0023281i	491.2103+0.1734821i
487	2.35+0.0041369i	492.2561+0.172177i
488	2.3396-0.0010718i	493.2935+0.1708769i
489	3.1821+0.0049893i	494.3247+0.1692803i
490	3.1688+0.0074598i	495.3683+0.16788i
491	2.3443-0.001099i	496.4056+0.166369i
492	2.3211+0.0013616i	497.4367+0.1649323i
493	3.2389-0.0021023i	498.48+0.1633218i
494	2.7219+0.0061524i	499.5169+0.1617856i
495	2.5253+0.0015143i	500.5658+0.1602608i
496	2.3983-0.0084997i	501.6082+0.1586256i
497	2.9311+0.0012912i	502.644+0.1568798i
498	2.5562+0.0056573i	503.6917+0.1553299i
499	2.2837+0.028626i	504.7327+0.1536694i
500	2.7899+0.00054466i	505.7669+0.1518981i
501	2.866-0.013391i	506.8128+0.1501388i
502	2.664-0.00098555i	507.8701+0.1483916i
503	2.505-0.0039809i	508.9023+0.1464112i
504	2.6517+0.0018347i	509.9457+0.1446257i
505	2.5484+0.01008i	511.0005+0.1426694i
506	2.8361-0.0010622i	512.0481+0.1407851i
507	2.3008-0.016567i	513.0886+0.1387899i
508	2.4154+0.0029244i	514.1401+0.1368065i
509	2.9057-0.0021621i	515.1843+0.134712i
510	2.9805-0.010155i	516.2394+0.1328112i
511	3.224-0.0016541i	517.2871+0.1306171i
512	2.4172-2.9913e-05i	518.3454+0.1286162i
513	2.9844-0.0013719i	519.3963+0.1263221i
514	3.4002+0.0014818i	520.4394+0.1240976i
515	2.6736-0.0020412i	521.4931+0.1218841i
516	3.1135+0.011115i	522.5552+0.1212954i
