COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
375	0.45527-0.12205i	374.9976-1.75606e-05i
376	0.5298-0.16916i	376.0003+5.428457e-05i
377	0.38273+0.0054603i	377.0031+2.136731e-05i
378	0.19448+0.18002i	377.9952+5.818498e-05i
379	0.82595+0.010573i	378.9981+2.668095e-05i
380	0.54184-0.20023i	380.001-3.975982e-06i
381	0.71771-0.36058i	381.004-3.37647e-05i
382	0.45168-0.24644i	381.9963+5.354505e-06i
383	0.29882-0.011595i	382.9994-2.286722e-05i
384	0.53561-0.048854i	384.0026-5.015885e-05i
385	0.50289-0.1418i	385.0059-7.649855e-05i
386	0.38414-0.035011i	385.9983-3.479544e-05i
387	0.012014-0.008167i	387.0016-5.940888e-05i
388	0.262+0.088487i	388.005+2.653415e-05i
389	0.39234+0.12989i	388.9976+7.061286e-05i
390	0.55319+0.094001i	390.0011+4.917168e-05i
391	0.66898+0.077013i	391.0047+2.881215e-05i
392	0.29249-0.1416i	391.9973+7.51246e-05i
393	0.40134-0.14736i	393.001-5.434417e-05i
394	0.43791-0.22095i	394.0048-7.189041e-05i
395	0.013471+0.017627i	394.9975-2.348282e-05i
396	0.92252-0.19328i	396.0014-3.892781e-05i
397	0.37346-0.098208i	396.9977+5.194613e-05i
398	0.69874-0.16567i	398.0036-1.592809e-06i
399	0.41847+0.19002i	398.9983+6.264157e-06i
400	0.32446-0.48798i	400.0043-5.788868e-05i
401	0.67884+0.087887i	400.9991+5.520977e-05i
402	1.375+0.16173i	402.0053-1.954798e-05i
403	1.0884+0.28506i	403.0001-2.843468e-05i
404	0.6827+0.088659i	403.995+7.344738e-05i
405	0.39052+0.13673i	405.0014-1.737275e-05i
406	0.53255+0.098159i	405.9964+7.63699e-05i
407	0.42692+0.080297i	407.003-2.586121e-05i
408	0.22785+0.22013i	407.9981+5.943958e-05i
409	0.69525-0.032815i	409.0048-5.453613e-05i
410	0.11261+0.69649i	410+2.201551e-05i
411	0.82922-0.17393i	410.9952+9.487408e-05i
412	0.75753+0.07002i	412.0022-3.655303e-05i
413	0.56159+0.11405i	412.9975+2.709366e-05i
414	0.8082+0.071536i	414.0047+9.710873e-07i
415	1.1288-0.89222i	415.0001+5.541654e-05i
416	1.6035+0.31245i	415.9956-1.276653e-05i
417	0.66684-0.069057i	417.003-5.662763e-05i
418	0.62328+0.0044908i	417.9985-1.626442e-05i
419	1.0373-0.029594i	419.0061-7.260567e-05i
420	0.7895-0.13958i	420.0018-4.225496e-05i
421	0.25434+0.13942i	420.9975-1.636704e-05i
422	0.28386-0.17441i	422.0054-9.143615e-05i
423	0.39915+0.0076294i	423.0012+4.481931e-05i
424	0.6463+0.1125i	423.9971+5.58243e-05i
425	0.80661-0.54469i	425.0052-3.845049e-05i
426	0.82109+0.29448i	426.0043-3.821929e-05i
427	0.27269+0.29637i	426.9947+9.221617e-05i
428	0.5564-0.070625i	427.9974-8.485839e-06i
