COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
375	0.92204-0.011213i	373.5063+0.00754826i
376	1.2539+0.010209i	374.5044+0.007587314i
377	1.3942-0.020883i	375.5002+0.007639874i
378	1.1185+0.0031794i	376.4939+0.007685584i
379	1.2646+0.0057573i	377.4854+0.00772395i
380	1.6683-0.012771i	378.4747+0.007754472i
381	1.2785-0.00082193i	379.4617+0.007796457i
382	2.1891-1.5001e-05i	380.4663+0.007843802i
383	2.1424-0.0019664i	381.4489+0.007867459i
384	1.4965-0.0017485i	382.449+0.007934872i
385	1.6537+0.00078384i	383.4468+0.007971907i
386	1.7393+0.028252i	384.4226+0.00798387i
387	1.4217-2.2743e-05i	385.4158+0.008037714i
388	1.8118+0.0027985i	386.4067+0.008079328i
389	1.9422-0.0059332i	387.415+0.008141631i
390	1.4833-0.026402i	388.4013+0.008157056i
391	1.7294-0.0025881i	389.3852+0.008198028i
392	1.7916-0.0015165i	390.3864+0.008238013i
393	2.0898-0.010063i	391.3656+0.008249375i
394	1.938+0.018096i	392.3621+0.008297819i
395	1.8669+0.0024247i	393.3562+0.008349536i
396	1.8907-0.0033672i	394.3478+0.008384246i
397	2.0865+0.00038475i	395.3302+0.008486777i
398	1.8823+0.0022789i	396.341+0.008747519i
399	2.4963-0.00099484i	397.3294+0.008989416i
400	2.1096+0.013116i	398.315+0.009208996i
401	2.1918-0.017732i	399.2978+0.009448286i
402	2.3386-0.0020676i	400.2975+0.009707168i
403	2.001+0.0040107i	401.2943+0.009973102i
404	2.2853+0.0036176i	402.2687+0.01019171i
405	2.1195+0.010611i	403.2598+0.01046012i
406	2.0866+0.0037078i	404.2676+0.01076374i
407	1.9468+0.0003938i	405.253+0.01102817i
408	2.1153+7.6949e-05i	406.2355+0.01127522i
409	2.3733+0.0017504i	407.2345+0.01158813i
410	1.6395+0.0051779i	408.2306+0.01187167i
411	2.2693+0.0027173i	409.2043+0.01212547i
412	1.8938+9.8871e-05i	410.2139+0.01248028i
413	2.1439+0.001441i	411.2011+0.0127727i
414	2.3361-0.0070317i	412.1852+0.01306796i
415	1.9861-0.00019382i	413.1663+0.01334988i
416	2.0079+0.0098034i	414.1638+0.0136874i
417	1.6507+0.010469i	415.1582+0.0140197i
418	2.2324-0.016292i	416.1495+0.0143696i
419	1.9568-0.0024588i	417.1377+0.01470166i
420	2.1535+0.0034993i	418.1227+0.01501938i
421	1.8456-0.0061691i	419.124+0.01539565i
422	2.082+0.038932i	420.1027+0.0157348i
423	1.8582+0.0040368i	421.0975+0.0161024i
424	2.3989+0.010885i	422.0892+0.01647151i
425	2.4888-0.020586i	423.0775+0.01684579i
426	1.7638-0.0083641i	424.0617+0.0172266i
427	2.0293+0.0024233i	425.0608+0.0176663i
428	1.8325+0.0043025i	426.0372+0.01803901i
429	2.4749+0.0074958i	427.0296+0.01847882i
430	2.4839+0.0055622i	428.0185+0.01889664i
431	2.897-0.01702i	429.0041+0.01933542i
432	2.4765+0.0065474i	430.0055+0.0198203i
433	2.4147-0.0023146i	430.9841+0.02023812i
434	1.8372-0.012577i	431.9785+0.02071289i
435	2.0053-0.0068629i	432.9694+0.02118993i
436	1.6233-0.00078851i	433.9568+0.02167388i
437	2.0343-0.00046247i	434.9406+0.02215023i
438	2.4238-0.0071552i	435.94+0.02266942i
439	2.431+0.015954i	436.9166+0.02314586i
440	2.1084+0.00086567i	437.9088+0.02367676i
441	1.4553+0.0086114i	438.8973+0.02420221i
442	2.0998-0.0039056i	439.8822+0.02470809i
443	2.0619+0.0027759i	440.8825+0.02530746i
444	2.2645+0.00059004i	441.8599+0.02580959i
445	1.8019+0.0025459i	442.8527+0.02639837i
446	1.8348+0.010789i	443.8417+0.02697113i
447	2.5651-0.0015378i	444.8269+0.02753323i
448	2.4704-0.0030669i	445.8273+0.02818389i
449	2.2668+0.0016733i	446.8048+0.02874192i
450	2.2119+0.035282i	447.7975+0.02938251i
451	2.3009-0.004574i	448.7863+0.02999842i
452	1.5327-0.023252i	449.7711+0.03063336i
453	2.2015-0.013062i	450.752+0.03123607i
454	2.5897+0.011322i	451.7479+0.03187453i
455	1.8427-0.00217i	452.7241+0.03251927i
456	2.3962+0.0045579i	453.7199+0.03320838i
457	2.4217+0.0023073i	454.7118+0.03402425i
458	2.1688-0.0021183i	455.6998+0.03478335i
459	2.3862+0.027304i	456.6837+0.03549182i
460	2.3346-0.0016401i	457.6637+0.03615586i
461	1.8388+0.0153i	458.6586+0.03687067i
462	2.5025-0.0045341i	459.6494+0.03774463i
463	2.2647+0.0041419i	460.6361+0.0384066i
464	2.2042+0.0069929i	461.6187+0.0392403i
465	2.2126+0.0049558i	462.5972+0.04006355i
466	2.6043-0.0096407i	463.5904+0.04078958i
467	2.2335+0.0010307i	464.5794+0.04170907i
468	2.3279+0.0042622i	465.5641+0.04245255i
469	2.0598+0.0020596i	466.5446+0.04340275i
470	2.2993+0.006934i	467.5397+0.04429051i
471	1.9672-0.0082403i	468.5116+0.04511257i
472	2.4952-0.014914i	469.498+0.04588913i
473	2.5591-0.016027i	470.4988+0.04700585i
474	2.1721+0.0092933i	471.4764+0.04788977i
475	2.4932-0.0014044i	472.4684+0.04875658i
476	1.4937+0.046422i	473.4559+0.04969743i
477	2.0796-0.012731i	474.4389+0.05071971i
478	2.7819-0.0018543i	475.4174+0.05164432i
479	2.3727-0.011205i	476.41+0.0527767i
480	2.5011+0.0041203i	477.3794+0.05371734i
481	2.5211-0.00019804i	478.3814+0.05481154i
482	2.052+8.5773e-06i	479.3602+0.0559163i
483	1.9372+0.0016475i	480.3344+0.0567802i
484	2.6269+0.0094365i	481.3224+0.05790113i
485	2.5223+0.00054368i	482.3057+0.05917211i
486	2.0456-0.0040325i	483.3028+0.06035087i
487	2.8649-0.0017736i	484.2812+0.06077226i
488	1.9962-0.0026419i	485.2698+0.06152536i
489	2.4222+0.020712i	486.2524+0.06197924i
490	2.5742-0.0012716i	487.2291+0.06250402i
491	2.4311-0.020287i	488.2181+0.06322031i
492	2.1602+0.013549i	489.201+0.06382242i
493	2.7855+0.0054872i	490.1777+0.06431041i
494	2.9169-0.0027364i	491.1667+0.06498977i
495	2.3569-0.004315i	492.1309+0.06543353i
496	2.6109-0.0066072i	493.1257+0.06600602i
497	2.1352-0.0016339i	494.0956+0.06652658i
498	2.8414-0.0085347i	495.0775+0.06723785i
499	1.8444+0.00048417i	496.0712+0.06795634i
500	2.6202-0.00060494i	497.0401+0.06843855i
501	2.9321+0.0029789i	498.0207+0.06911105i
502	2.6422+0.0039159i	499.0129+0.0697908i
503	2.6438-0.0013482i	499.9983+0.07035588i
504	2.2257+0.0012625i	500.977+0.07098868i
505	2.6426+0.0051494i	501.9488+0.07168863i
506	2.9749+0.0027847i	502.932+0.07239538i
507	2.9616-0.0018049i	503.9082+0.07298669i
508	2.455-0.00016854i	504.8955+0.07376663i
509	3.3261-0.00011683i	505.8758+0.07443073i
510	2.4171+0.0032476i	506.849+0.07497889i
511	2.7051+0.00056453i	507.833+0.07571476i
512	2.6868+0.0049446i	508.8098+0.0763342i
513	2.2483+0.015258i	509.7793+0.0770179i
514	2.6036+0.00081649i	510.7594+0.07770724i
515	3.0007+0.00083385i	511.7501+0.07858267i
516	2.9673-0.004658i	512.7309+0.08028158i
517	1.5093+0.00057696i	513.7055+0.08204353i
518	2.75+0.0019816i	514.6732+0.0836652i
519	3.052+0.0028579i	515.6519+0.08547172i
520	2.6427+0.0030039i	516.6416+0.0874838i
521	2.5631+0.011315i	517.6062+0.08927746i
522	1.6867+0.0012786i	518.5996+0.09126752i
523	3.3146+0.0032076i	519.5678+0.09325169i
524	2.7416-0.0032766i	520.5467+0.0951592i
525	3.7771-0.0034402i	521.5184+0.09723089i
526	2.2323-0.013165i	522.5005+0.09926789i
527	2.3435-0.010308i	523.4751+0.1015073i
528	2.7104+0.0053002i	524.4601+0.1037551i
529	2.7516+0.0067883i	525.4376+0.1058883i
530	2.6423+0.0099239i	526.4074+0.1081039i
531	2.2634+0.0014778i	527.3873+0.110393i
532	2.9379-0.0061502i	528.3594+0.1128058i
533	2.3458-0.00038746i	529.3238+0.1150066i
534	3.064+0.0044008i	530.3157+0.1175048i
535	2.7854-0.0011748i	531.282+0.1200354i
536	3.0206+0.019865i	532.2579+0.1225783i
537	2.7431-0.00057772i	533.2257+0.1249986i
538	1.7689+0.0012403i	534.2031+0.1276578i
539	3.0369-0.0013271i	535.1722+0.1302411i
540	3.111+0.0019079i	536.1507+0.1331138i
541	3.1126-0.0016779i	537.1208+0.1357825i
542	2.2931+0.018201i	538.1+0.1387929i
