COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
376	0.31506-0.072046i	375.9956-1.439098e-05i
377	0.13435-0.41562i	376.995+1.364096e-05i
378	0.54896-0.055639i	377.9945+4.430075e-05i
379	0.41234-0.10419i	378.9943+7.765251e-05i
380	0.21325-0.50336i	379.9942+0.000113761i
381	0.43419-0.11658i	380.9942+8.327606e-06i
382	0.28996-0.19169i	381.9945+4.971817e-05i
383	0.18481+0.16753i	382.9949+9.406347e-05i
384	0.3638+0.23708i	383.9956-4.219532e-06i
385	0.24647-0.12019i	384.9963+4.580876e-05i
386	0.17459+0.25074i	385.9973-4.751406e-05i
387	0.083462+0.20865i	386.9985+8.471086e-06i
388	0.2162-0.13609i	387.9998+6.77544e-05i
389	0.18639-0.17058i	389.0014-1.739507e-05i
390	0.37868-0.074396i	390.0031+4.826662e-05i
391	0.42271+0.001786i	391.005-3.122408e-05i
392	0.16794+0.24458i	392.0071-0.0001079934i
393	0.3588+0.16289i	392.9944+5.653508e-05i
394	0.2408+0.042096i	393.9969-1.446571e-05i
395	0.27643+0.18233i	394.9995+6.786711e-05i
396	0.15773-0.21022i	396.0024+3.250795e-06i
397	0.1249-0.36849i	397.0023-6.847822e-05i
398	0.30182+0.38349i	398.0054-2.044857e-05i
399	0.34568+0.17458i	399.0088+1.16564e-05i
400	0.33778+0.078448i	399.9971-3.159878e-05i
401	0.033887-0.11438i	401.0008-3.097568e-05i
402	0.41367-0.0032011i	402.0048-4.711988e-05i
403	0.5247+0.15461i	403.0091-8.032081e-05i
404	0.21522+0.16549i	403.9981-3.062364e-05i
405	0.39601-0.15166i	405.0028+5.783774e-05i
406	0.30571-0.085302i	406.0077-2.610847e-05i
407	0.23078-0.28968i	406.9972-2.285559e-05i
408	0.299+0.22885i	408.0026+1.45074e-05i
409	0.28121-0.24361i	409.0082-0.0001228157i
410	0.1742+0.013747i	409.9983-1.131699e-05i
411	0.32787+0.25831i	411.0043-2.726363e-05i
412	0.45278-0.22443i	411.9948+5.225547e-05i
413	0.28459+0.19076i	413.0013+1.600154e-07i
414	0.3705+0.027247i	414.0081-7.137613e-05i
415	0.38222-0.017899i	414.9992-4.293999e-05i
416	0.50873-0.10866i	416.0064+7.552094e-06i
417	0.22849-0.046225i	416.9979+1.498629e-06i
418	0.28236+0.219i	418.0056+1.412573e-05i
419	0.1201-0.22402i	418.9975-2.764002e-05i
420	0.49956-0.015742i	420.0057-5.415559e-05i
421	0.11539+0.086759i	420.998+2.949523e-05i
422	0.18537-0.27376i	422.0067-3.69942e-05i
423	0.36396+0.14944i	422.9994+9.84033e-06i
424	0.1405-0.3224i	424.0087-9.794511e-05i
425	0.37612+0.11562i	425.0018+7.504198e-05i
426	0.29274-0.21172i	425.9983-5.78586e-06i
427	0.35873-0.15254i	426.9987-3.509102e-05i
428	0.19306-0.20446i	427.9994+7.878907e-05i
429	0.15944+0.35925i	429.0003+4.594894e-06i
430	0.047286-0.18609i	430.0015+7.37826e-05i
431	0.47003-0.022586i	431.0029-4.681912e-05i
432	0.3322+0.46069i	432.0046-2.385389e-05i
433	0.21831+0.21223i	433.0065-2.434318e-05i
434	0.3646+0.036377i	434.0087-4.867955e-05i
435	0.50327-0.062576i	434.9942+6.310807e-05i
436	0.15112+0.050145i	435.9969-7.858198e-06i
437	0.30998-0.2393i	436.9998+6.612998e-05i
438	0.46057+0.12924i	438.0029-5.4827e-05i
439	0.29146+0.10775i	439.0064-3.068267e-05i
440	0.36713+0.051806i	440.0101-3.183685e-05i
441	0.29742-0.28732i	440.9969+0.0001154067i
442	0.15973-0.41004i	442.0011+6.474225e-05i
443	0.023794-0.0035893i	443.0056-1.246736e-05i
444	0.27477-0.1596i	443.993+6.45249e-05i
445	0.37462+0.23905i	444.998+0.0001091784i
446	0.14583-0.40656i	446.0033-4.736584e-05i
447	0.53699+0.20089i	447.0088-5.73426e-05i
448	0.31128-0.17016i	447.9972+9.573906e-05i
449	0.30231-0.20876i	449.0033+3.229178e-05i
450	0.20219-0.3194i	450.0097-5.976885e-05i
451	0.46065-0.11033i	450.9987+1.725885e-05i
452	0.44584-0.24305i	452.0056-0.0001309095i
453	0.14451+0.036089i	452.9951+7.185889e-05i
454	0.17175+0.31047i	454.0026+4.454848e-05i
455	0.46876+0.18019i	455.0011+1.17874e-05i
456	0.31916-0.21i	456.0052-0.000121295i
457	0.23535+0.21634i	457.0096-0.0001048363i
458	0.27208+0.37286i	457.9962+9.798221e-05i
459	0.36125+0.23938i	459.001+5.727372e-05i
460	0.39559-0.33876i	460.0062-1.402416e-05i
461	0.41592-0.25135i	460.9935+0.0001076113i
462	0.47101-0.22468i	461.9992-2.360233e-05i
463	0.34606-0.24165i	463.0052-4.173156e-06i
464	0.20844+0.070046i	463.9932+3.270631e-05i
465	0.29634-0.3631i	464.9997-9.131428e-06i
466	0.11345-0.43799i	466.0066-8.344383e-05i
467	0.40141-0.37383i	466.9953+4.96132e-05i
468	0.34962+0.093782i	468.0027-8.836208e-05i
469	0.39218+0.12574i	469.0105-7.470138e-05i
470	0.10359-0.24512i	469.9999-3.188812e-05i
471	0.44153+0.34127i	471.0083-8.337003e-05i
472	0.48316+0.13296i	471.9982+8.504627e-05i
473	0.49058-0.061901i	473.0071-3.308461e-05i
474	0.55629+0.1428i	473.9976+7.338629e-05i
475	0.43076+0.081204i	475.0071-0.0001134281i
476	0.45325+0.18038i	475.998+0.0001181736i
477	0.05524-0.45663i	477.0082-0.0001388961i
478	0.52801-0.11056i	477.9997+2.82452e-05i
479	0.27985+0.26i	479.0104-0.000110624i
480	0.42556+0.41521i	480.0024-9.49668e-06i
481	0.35616-0.030668i	480.9947+5.933783e-05i
482	0.29284+0.11163i	482.0064+3.723336e-06i
483	0.30046+0.10788i	482.9992+3.917845e-06i
484	0.43288+0.097255i	483.9923+0.0001633261i
485	0.38877+0.13537i	485.0049-3.460362e-06i
486	0.32031-0.097768i	485.9986+8.561086e-05i
487	0.25759-0.10765i	487.008-0.0001773717i
488	0.44172-0.16095i	488.0037-9.652446e-05i
489	0.29526+0.0084465i	488.9997-1.265886e-05i
490	0.36709-0.27001i	489.996+7.434955e-05i
491	0.20427-0.063815i	490.9927+0.0001646271i
492	0.50683-0.060678i	492.0094-3.743956e-05i
493	0.33594+0.1657i	493.0069-0.0001381175i
494	0.031033-0.19998i	494.0047-3.774092e-05i
495	0.53018+0.38929i	495.0028+6.643351e-05i
496	0.41673-0.34402i	496.0013-2.5083e-05i
497	0.12593-0.21286i	497.0002+8.653629e-05i
498	0.5643-0.095698i	497.9994+1.618603e-06i
499	0.27005+0.21198i	498.999+0.0001212392i
500	0.28515-0.013172i	499.999+4.348085e-05i
501	0.25369+0.13908i	500.9994-3.076519e-05i
502	0.36014+0.05161i	502.0001+0.000101654i
503	0.42532-0.13152i	503.0013+3.543841e-05i
504	0.60747+0.068058i	504.0028-2.682126e-05i
505	0.34616+0.071378i	505.0048-8.497315e-05i
506	0.39257+0.11748i	506.0071-0.0001388632i
507	0.30751-0.011414i	507.0099-0.0001883351i
508	0.37113+0.11833i	507.9924+6.079713e-05i
509	0.69581+0.13922i	508.9959+2.048587e-05i
510	0.087403-0.17508i	509.9999-1.493034e-05i
511	0.37616-0.070561i	511.0042-4.528602e-05i
512	0.57122+0.085489i	512.009-7.041334e-05i
513	0.42376-0.22972i	512.9933+0.0002030596i
514	0.39101+0.27067i	513.9989-2.116993e-05i
515	0.36228+0.15666i	515.005-3.035017e-05i
516	0.35206+0.13043i	515.9949+0.0001546684i
517	0.16737-0.29301i	517.0053+4.583806e-05i
518	0.40866+0.44831i	517.9948+0.0001867584i
519	0.34701-0.54324i	519.006-2.715033e-05i
520	0.65363+0.14566i	519.9962+1.443098e-05i
521	0.41728-0.040018i	521.0082-9.405708e-05i
522	0.78104-0.15832i	521.9992+5.986895e-05i
523	0.42951+0.083302i	523.012-0.0001581681i
524	0.6024+0.20231i	524.0037-0.0001079278i
525	0.42924+0.16667i	524.9958+0.0001072057i
526	0.12601+0.066278i	526.0099-6.250081e-05i
527	0.73974+0.14035i	527.0027+4.612511e-05i
528	0.50092+0.13219i	527.9959+0.0001021492i
529	0.60298+0.211i	529.0113-0.0002409612i
530	0.6353+0.039247i	530.0053-7.77461e-05i
531	0.063599+0.17594i	530.9997+3.139158e-05i
532	0.092269+0.17975i	531.9944+8.557232e-05i
533	0.55414+0.17055i	533.0116-5.710104e-05i
534	0.4399+0.089711i	534.0071-0.0001189911i
535	0.67808-0.05378i	535.0031-1.675794e-05i
536	0.38294+0.74172i	535.9994+2.803811e-05i
537	0.46209+0.032085i	536.9961+1.447451e-05i
538	0.63491+0.065413i	537.9933+0.0001651495i
539	0.010391+0.009622i	539.0132-0.0001296217i
540	0.53494+0.019891i	540.0112-0.0001022509i
541	0.44574-0.063619i	541.0096-0.0001358854i
542	0.85673+0.083708i	542.0084-0.000231493i
543	0.6535+0.024682i	543.0077-0.0001636119i
544	0.61667+0.030288i	544.0074-0.0001584991i
545	0.6081+0.39186i	545.0075-0.0002171493i
546	0.6644+0.13767i	546.008-0.0001123698i
547	0.53501+0.067849i	546.9959+4.836696e-05i
548	0.94094-0.33465i	548.0022+3.86849e-05i
549	0.61584-0.035741i	549.0091-0.0001976997i
550	0.68581-0.024878i	549.9936+0.0002181173i
551	0.40812+0.45849i	551.0018-1.254775e-05i
552	0.51834-0.11414i	552.0106-0.00024045i
553	0.6163+0.23029i	552.9969+0.0001869586i
554	0.74638-0.047868i	554.007-3.394084e-05i
555	0.80938-0.14441i	554.9944+0.0001681679i
556	0.80705+0.33318i	556.0059-4.55352e-05i
557	0.67181+0.079922i	556.9944+0.0001644347i
558	0.73479+0.045545i	558.0072-4.115042e-05i
559	0.80632+0.16953i	558.9971+0.000177594i
560	0.65777+0.11965i	560.0112-0.000256812i
561	0.92219-0.3362i	561.0023-2.905424e-05i
562	0.91914+0.096493i	561.994+0.000203963i
563	0.76327+0.079155i	563.0103-0.0002177777i
564	1.0843+0.23616i	564.0033+2.572943e-05i
