COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
376	0.44085+0.005389i	376.0694-0.0001104267i
377	0.65599+0.0047612i	377.0878-0.0001006146i
378	0.73481+0.0038222i	378.075-0.0001101531i
379	0.36044+0.0009438i	379.0614-0.0001172953i
380	0.58324-0.002776i	380.0778-0.0001096341i
381	0.19772+0.0039731i	381.0628-0.0001185991i
382	0.45201+0.0014555i	382.0778-0.0001100856i
383	0.65732+0.017492i	383.0616-0.0001214853i
384	0.53352+0.00066961i	384.0752-0.0001127412i
385	1.0045+0.027715i	385.0881-0.0001056685i
386	0.99208+0.012622i	386.0697-0.000115796i
387	0.64939+0.015597i	387.0813-0.0001094438i
388	0.20573+0.0022243i	388.0615-0.0001235797i
389	0.22079-0.0045842i	389.0716-0.0001155374i
390	0.50503+0.0042335i	390.081-0.0001130293i
391	0.67108+0.017755i	391.0897-0.0001070564i
392	0.85634+0.035707i	392.0671-0.0001220416i
393	0.22353+0.0035901i	393.0743-0.0001157041i
394	0.80736-0.01313i	394.0809-0.0001125154i
395	0.38247-0.003052i	395.0866-0.0001095935i
396	0.57355-0.00035818i	396.0917-0.0001071109i
397	0.56156+0.0026112i	397.0938-0.0001085202i
398	0.36935+0.0018944i	398.0924-0.000111795i
399	1.1405+0.01288i	399.0902-0.0001179356i
400	0.92446+0.021705i	400.0872-0.0001202045i
401	0.79718+0.0107i	401.0833-0.0001271045i
402	0.15036+0.0046602i	402.0787-0.0001318892i
403	0.65276-0.0052169i	403.0731-0.0001399994i
404	0.17767-0.0013609i	404.0668-0.0001477278i
405	0.7797+0.0071354i	405.09-0.000136492i
406	0.1789-0.0079618i	406.082-0.0001441293i
407	0.13771-0.0033737i	407.0731-0.0001554617i
408	0.61351-0.0078279i	408.0937-0.0001416224i
409	0.69681-0.010565i	409.0831-0.0001548666i
410	0.68539-0.018828i	410.0716-0.0001666988i
411	1.1816+0.015099i	411.0897-0.0001562065i
412	0.61083+0.012822i	412.0765-0.0001718508i
413	0.99731+0.0089182i	413.0928-0.0001629655i
