COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
375.7044	0.74801-0.39664i	378.8891+0.04056189i
375.9398	0.69006+0.3087i	379.1283+0.040524i
376.1755	0.67763-0.11282i	379.3678+0.04049081i
376.4115	0.5169-0.3087i	379.6077+0.04046233i
376.6478	0.71464+0.054904i	379.8479+0.04043856i
376.8844	0.47819+0.064601i	380.0885+0.04041952i
377.1213	0.85967-0.50735i	380.3294+0.04040522i
377.3585	0.74841-0.25493i	380.5707+0.04025281i
377.596	0.68334-0.08586i	380.7981+0.04034136i
377.8338	0.82822+0.10893i	381.0401+0.04034119i
378.0718	0.80112-0.46792i	381.2823+0.0402011i
378.3102	0.59062-0.50942i	381.525+0.04021042i
378.5489	0.57358-0.1383i	381.768+0.04022456i
378.7879	0.65906+0.26136i	382.0115+0.04010004i
379.0272	0.39361-0.14148i	382.2552+0.04012374i
379.2668	0.99699-0.29945i	382.485+0.0401016i
379.5066	0.5322+0.18052i	382.7293+0.0401333i
379.7468	1.1216-0.12816i	382.9741+0.04002754i
379.9873	1.046-0.23105i	383.2193+0.04007045i
380.2281	0.61906-0.029643i	383.4648+0.03997417i
380.4692	0.66304-0.22559i	383.7107+0.0398826i
380.7107	0.82062+0.059642i	383.9427+0.0400342i
380.9524	1.1443-0.34547i	384.1892+0.03995212i
381.1944	1.2124-0.086825i	384.4362+0.03987479i
381.4367	0.76902-0.18756i	384.6835+0.03980222i
381.6794	0.63277+0.0098275i	384.9313+0.03973599i
381.9223	0.50452+0.18413i	385.1793+0.03967298i
382.1656	0.40758-0.38076i	385.4133+0.03985342i
382.4092	0.87298-0.31594i	385.6621+0.03980162i
382.6531	0.78385+0.40347i	385.9113+0.03975465i
382.8973	0.71608+0.11554i	386.1608+0.03956727i
383.1418	0.26622-0.35663i	386.4107+0.03952988i
383.3866	0.91146-0.015838i	386.6464+0.03958917i
383.6317	1.0315-0.00097509i	386.8971+0.03956145i
383.8772	0.92218-0.46886i	387.1481+0.03954019i
384.1229	0.93683-0.15424i	387.3995+0.03952226i
384.369	1.086+0.1526i	387.6367+0.0394565i
384.6154	0.63901+0.48483i	387.8888+0.03944982i
384.8621	0.78985-0.16121i	388.1413+0.03944808i
385.1091	1.0402-0.54464i	388.3942+0.03930511i
385.3565	0.54955+0.61403i	388.6329+0.03940603i
385.6041	0.85994-0.13288i	388.8865+0.03927263i
385.8521	1.1765+0.0882i	389.1405+0.0392921i
386.1004	1.165-0.38889i	389.3949+0.03916998i
386.349	0.58671-0.043141i	389.635+0.03929034i
386.5979	0.83987+0.12034i	389.8901+0.03917789i
386.8472	1.0667-0.28881i	390.1457+0.0392188i
387.0968	0.76586-0.14633i	390.4016+0.03911774i
387.3467	0.68597+0.24022i	390.6432+0.0391122i
387.5969	0.6536+0.027852i	390.8999+0.03902082i
387.8474	0.77511+0.029984i	391.1569+0.0390817i
388.0983	0.78006-0.65322i	391.4144+0.03900182i
388.3495	0.31009-0.25793i	391.6575+0.03901722i
388.601	0.77434-0.32313i	391.9157+0.03894713i
388.8529	1.0346-0.26799i	392.1744+0.0388836i
389.1051	0.76314-0.040848i	392.4186+0.03891515i
389.3576	0.30759+0.24916i	392.678+0.03886149i
389.6104	0.56363+0.29956i	392.9378+0.03881283i
389.8635	0.97067-0.31104i	393.1979+0.03876917i
390.117	0.92284-0.080731i	393.4437+0.03882195i
390.3709	0.17527-0.10455i	393.7047+0.03864305i
390.625	0.74454+0.1577i	393.966+0.03861593i
390.8795	0.081164+0.18701i	394.2129+0.03868505i
391.1343	1.0325-0.77708i	394.4751+0.03852084i
391.3894	0.80859+0.13522i	394.7376+0.03851039i
391.6449	1.2297-0.14185i	394.9857+0.03859599i
391.9007	1.0187+0.03215i	395.249+0.03844821i
392.1569	0.93013+0.20141i	395.5128+0.0384562i
392.4133	1.035-0.54588i	395.7619+0.03840746i
392.6702	1.1128-0.14074i	396.0266+0.03842721i
392.9273	0.13823-0.76585i	396.2915+0.03830097i
393.1848	1.0976-0.0071265i	396.5419+0.03827015i
393.4426	1.0914-0.02089i	396.8076+0.03830521i
393.7008	1.2152-0.58606i	397.0588+0.0382859i
393.9593	1.0142-0.13401i	397.3254+0.03818287i
394.2181	0.83047+0.073706i	397.5923+0.03808489i
394.4773	0.47552-0.45805i	397.8447+0.03823222i
394.7368	0.81976-0.073189i	398.1124+0.03814603i
394.9967	1.1736-0.41281i	398.3807+0.03806656i
395.2569	1.193+0.43118i	398.6342+0.03808034i
395.5175	1.0897-0.13639i	398.9033+0.03801265i
395.7784	1.1952-0.05768i	399.1577+0.03803807i
396.0396	1.0889-0.040409i	399.4275+0.03798058i
396.3012	0.85228-0.19397i	399.6977+0.0379299i
396.5631	1.0322-0.27809i	399.954+0.03716045i
396.8254	1.1107-0.335i	400.241+0.02294155i
397.088	0.83475-0.51566i	400.4982+0.02309316i
397.351	1.304-0.34468i	400.7711+0.02329165i
397.6143	0.87428-0.35352i	401.0292+0.02341552i
397.878	1.2483-0.36706i	401.3029+0.02343381i
398.142	1.1547+0.28723i	401.5619+0.0236815i
398.4064	0.26137-0.13403i	401.8365+0.02382288i
398.6711	0.9578+0.12358i	402.0963+0.02389072i
398.9362	1.0182-0.078876i	402.3718+0.02400327i
399.2016	1.1158+0.18783i	402.6325+0.02419517i
399.4674	1.2356+0.090986i	402.9089+0.02427883i
399.7335	0.93905+0.23576i	403.1705+0.02444262i
400	1.0954-0.26986i	403.4478+0.02449719i
400.2668	0.066409+0.6442i	403.7102+0.02478553i
400.534	0.98055-0.24655i	403.9731+0.02490526i
400.8016	0.79048-0.27906i	404.2519+0.02491428i
401.0695	0.95523-0.26406i	404.5156+0.02515863i
401.3378	0.93671-0.4425i	404.7952+0.02529153i
401.6064	0.8413+0.5392i	405.0599+0.02535417i
401.8754	1.264-0.066027i	405.3404+0.02545767i
402.1448	0.92903-0.33727i	405.606+0.02564133i
402.4145	0.76119-0.44661i	405.8721+0.02581284i
402.6846	1.0467-0.64613i	406.154+0.02587037i
402.955	1.3174-0.065165i	406.4208+0.02601314i
403.2258	1.3723-0.57886i	406.7037+0.02619509i
403.497	1.3772-0.12577i	406.9715+0.02630518i
403.7685	1.4953+0.085598i	407.2398+0.02655732i
404.0404	1.4942-0.025596i	407.524+0.02653861i
404.3127	1.1221-0.083944i	407.7933+0.02675802i
404.5853	1.0164-0.52874i	408.0629+0.02696515i
404.8583	0.82521-0.16857i	408.3485+0.02705444i
405.1317	1.1811-0.10118i	408.6191+0.02722866i
405.4054	1.2903-0.27632i	408.8902+0.02739047i
405.6795	0.57134-0.3682i	409.1772+0.02743286i
405.954	1.1722-0.33307i	409.4492+0.02756143i
406.2288	1.2131-0.083078i	409.7216+0.02783301i
406.5041	1.0724-0.43013i	410.0101+0.02782426i
406.7797	1.3844-0.48893i	410.2835+0.02806267i
407.0556	1.0055+0.068713i	410.5573+0.02813269i
407.332	0.59248-0.10343i	410.8473+0.02823227i
407.6087	0.80481-0.39003i	411.122+0.02842474i
407.8858	1.0353-0.31349i	411.3973+0.0286007i
408.1633	1.142-0.15365i	411.6731+0.02876008i
408.4411	0.83279-0.60622i	411.9649+0.02879889i
408.7193	1.2577+0.15667i	412.2415+0.02908513i
408.998	0.9776-0.6443i	412.5188+0.02919409i
409.2769	0.91291+0.035008i	412.7963+0.02929415i
409.5563	1.3674-0.088346i	413.0901+0.02942069i
409.8361	1.2054-0.22698i	413.3688+0.02963992i
410.1162	0.27128+0.3725i	413.6478+0.0298464i
410.3967	0.013975+0.19255i	413.9274+0.02987864i
410.6776	1.0444+0.15039i	414.2232+0.0299396i
410.9589	0.86595-0.23391i	414.5037+0.03009503i
411.2406	1.293-0.45696i	414.7848+0.03039142i
411.5226	0.80225-0.013736i	415.0662+0.03051705i
411.8051	1.4918-0.14841i	415.3482+0.03062166i
412.0879	0.79702+0.60567i	415.6465+0.03075708i
412.3711	1.5158-0.43613i	415.9294+0.03083105i
412.6547	1.1709+0.40542i	416.2129+0.03104636i
412.9387	0.67647+0.14563i	416.4968+0.03124467i
413.2231	1.1888-0.19919i	416.7813+0.03142591i
413.5079	0.61175+0.029914i	417.0663+0.03159003i
413.7931	1.2024+0.67332i	417.3676+0.03161953i
414.0787	0.97881+0.18278i	417.6536+0.03174871i
414.3646	1.0939-0.11101i	417.94+0.03202395i
414.651	0.72686-0.29778i	418.227+0.03211861i
414.9378	0.99348+0.4207i	418.5145+0.03235545i
415.2249	1.0043-0.066169i	418.8023+0.03241938i
415.5125	0.82843-0.10436i	419.0908+0.0326216i
415.8004	1.0199-0.30669i	419.3957+0.03268943i
416.0888	0.51832+0.64405i	419.6853+0.0328564i
416.3775	0.76232+0.1809i	419.9752+0.03300997i
416.6667	1.4331+0.18786i	420.2657+0.03314197i
416.9562	0.3758-0.12106i	420.5567+0.03326045i
417.2462	0.85092-0.35925i	420.8482+0.03351792i
417.5365	1.4208-0.34162i	421.1402+0.03360121i
417.8273	1.1714+0.01626i	421.4327+0.03382362i
418.1185	1.2981-0.45218i	421.7258+0.03402847i
418.41	1.6071-0.37942i	422.0193+0.03405857i
418.702	0.83266+0.079812i	422.3134+0.03422799i
418.9944	1.193-0.15215i	422.608+0.03437967i
419.2872	1.0312-0.21253i	422.9032+0.03467518i
419.5804	0.76858-0.30075i	423.1988+0.03479132i
419.874	1.0013+0.29143i	423.495+0.03488954i
420.1681	1.3187-0.1948i	423.7917+0.03512768i
420.4625	1.0819-0.43822i	424.0889+0.03518997i
420.7574	1.3072+0.067198i	424.3867+0.03539233i
421.0526	1.4478+0.14367i	424.6849+0.0355809i
